,rank,title,author,rating,rating_by_price,reviews,type,price
80,82,The Sun and Her Flowers,Rupi Kaur,4.6,0.36106750392464676,1245,Paperback,12.74
81,83,The Life-Changing Magic of Tidying Up,Marie Kondo,4.4,0.45407636738906093,14421,Hardcover,9.69
82,84,The Easy 5-Ingredient Ketogenic Diet Cookbook,Jen Fisch,4.3,0.4783092324805339,663,Paperback,8.99
83,85,Where Do Diggers Sleep at Night?,Brianna Caplan Sayres,4.8,0.7817589576547231,1569,Board book,6.14
84,86,The 7 Habits of Highly Effective People,Stephen R. Covey,4.5,0.46487603305785125,5426,Paperback,9.68
85,87,Whiskey in a Teacup,Reese Witherspoon,4.7,0.24114930733709597,616,Hardcover,19.49
86,88,Man's Search for Meaning,Vicktor Frankl,4.7,0.47047047047047047,4959,Paperback,9.99
87,89,The Great Alone,Kristin Hannah,4.6,0.29058749210360074,6902,Hardcover,15.83
88,90,The Total Money Makeover,Dave Ramsey,4.7,0.3219178082191781,5772,Hardcover,14.6
89,91,Cravings,Chrissy Teigen,4.7,0.25753424657534246,332,Hardcover,18.25
90,92,The Handmaid's Tale,Margaret Atwood,4.1,0.4320337197049525,14663,Paperback,9.49
91,93,The Gifts of Imperfection,Bren Brown,4.6,0.5128205128205128,4057,Paperback,8.97
92,94,The Great Gatsby,F. Scott Fitzgerald,4.2,0.37333333333333335,7527,Paperback,11.25
93,95,The Body Keeps the Score,,4.8,0.4444444444444444,2005,Paperback,10.8
94,96,"Gmorning, Gnight!",Lin-Manuel Miranda,4.7,0.30342156229825695,285,Hardcover,15.49
95,97,Rich Dad Poor Dad,Robert T. Kiyosaki,4.5,0.6976744186046512,8611,Paperback,6.45
96,98,Make Your Bed,William H. McRaven,4.7,0.4272727272727273,2582,Hardcover,11.0
97,99,Harry Potter Paperback Box Set,J. K. Rowling,4.7,0.08547008547008547,7742,Paperback,54.99
98,100,Xanathar's Guide to Everything,Wizards RPG Team,4.5,0.14258555133079848,743,Hardcover,31.56
